451690,bupf8,Clark,Bennett,c.bennett@randatmail.com,733-5731-47,Master
475951,i5fg3,Max,Brown,m.brown@randatmail.com,732-2276-56,Upper secondary
488470,rotz0,Sarah,Craig,s.craig@randatmail.com,398-0823-92,Doctoral
418875,vr7ok,Luke,Montgomery,l.montgomery@randatmail.com,591-8120-22,Bachelor
466426,p8ju6,Carina,Moore,c.moore@randatmail.com,397-5710-80,Primary
497997,1vq4k,Adrian,Myers,a.myers@randatmail.com,118-7853-44,Upper secondary
438850,wlj3b,Maria,Nelson,m.nelson@randatmail.com,709-6196-15,Doctoral
410050,wc4eb,Lana,Reed,l.reed@randatmail.com,990-9735-42,Bachelor
431760,bzz2u,Agata,Rogers,a.rogers@randatmail.com,612-4925-45,Primary
445988,ihzcd,Max,Ryan,m.ryan@randatmail.com,727-8807-59,Master
